product_id,name,category,price,stock
1,Порт #125,Электроника,37155.06,31
2,Ботинок #242,Одежда,36902.62,86
3,При #189,Спорт,29647.48,4
4,Отметить #195,Электроника,11166.31,64
5,Костер #127,Спорт,28193.88,91
6,Инфекция #529,Спорт,11255.9,75
7,Выражение #928,Книги,43504.23,97
8,Руководитель #814,Одежда,21303.94,35
9,Ход #320,Одежда,47873.49,43
10,Ломать #194,Электроника,19182.39,45
11,Угодный #718,Книги,13446.69,5
12,Домашний #649,Дом,6503.86,48
13,Салон #665,Электроника,14870.96,80
14,Посидеть #982,Спорт,18273.26,24
15,Основание #146,Электроника,33164.79,98
16,Помолчать #181,Книги,42809.29,12
17,Степь #384,Дом,22834.49,46
18,Реклама #479,Одежда,17956.95,85
19,Холодно #818,Книги,46851.73,82
20,Человечек #723,Электроника,31858.42,68
21,Эффект #267,Одежда,23274.33,34
22,Район #324,Спорт,34325.33,98
23,Ныне #334,Электроника,41143.59,40
24,Невозможно #374,Дом,3589.57,72
25,Приходить #317,Книги,32875.3,50
26,Функция #246,Дом,13464.54,31
27,Плод #651,Спорт,13358.26,74
28,Следовательно #697,Дом,20150.21,28
29,Кольцо #621,Одежда,24827.74,96
30,Важный #981,Электроника,5749.56,80
31,Мрачно #911,Одежда,34119.92,76
32,Правильный #494,Электроника,19266.48,59
33,Идея #357,Спорт,48562.6,1
34,Остановить #798,Электроника,44273.99,96
35,Танцевать #887,Книги,32155.8,14
36,Вскинуть #545,Книги,8160.44,0
37,Вытаскивать #612,Книги,38169.52,64
38,Пятеро #991,Электроника,31377.42,81
39,Адвокат #723,Спорт,10185.88,47
40,Да #652,Одежда,47688.94,67
41,Витрина #713,Электроника,16410.56,2
42,Кпсс #471,Электроника,43972.48,39
43,Медицина #159,Одежда,12271.32,72
44,Девка #187,Электроника,36675.81,8
45,Печатать #884,Спорт,6550.3,84
46,Социалистический #662,Дом,8506.81,67
47,Актриса #533,Спорт,48228.84,69
