item_id,order_id,product_id,quantity,price_at_order,total_item_price
1,1,302,1,3561,3561
2,2,760,1,14653,14653
3,2,401,1,25661,25661
4,2,173,2,7776,15552
5,3,452,2,33704,67408
6,4,222,1,22487,22487
7,5,546,1,21286,21286
8,5,222,1,22487,22487
9,5,453,2,31422,62844
10,6,316,1,24014,24014
11,6,455,1,41539,41539
12,6,54,2,35727,71454
13,7,952,1,25698,25698
14,8,931,1,3347,3347
15,8,245,1,13459,13459
16,9,432,1,17829,17829
17,10,346,1,14337,14337
18,11,686,1,28440,28440
19,11,65,1,5672,5672
20,11,226,1,46430,46430
21,12,426,1,20098,20098
22,13,331,1,48725,48725
23,13,576,1,45474,45474
24,14,405,1,44990,44990
25,14,962,1,23767,23767
26,14,439,1,32733,32733
27,15,366,2,14433,28866
28,16,16,2,45096,90192
29,17,324,1,38276,38276
30,17,13,2,15235,30470
31,17,399,1,24348,24348
32,18,674,2,20321,40642
33,19,639,1,32194,32194
34,19,378,1,48481,48481
35,19,45,2,44142,88284
36,20,786,2,29019,58038
37,20,614,1,49245,49245
38,21,550,1,25193,25193
39,21,811,2,34170,68340
40,21,945,1,1136,1136
41,22,333,2,10186,20372
42,22,647,1,30271,30271
43,22,714,2,24153,48306
44,23,651,2,2412,4824
45,24,494,1,38472,38472
46,24,70,2,33453,66906
47,24,344,2,44216,88432
48,25,656,1,35608,35608
49,25,760,1,14653,14653
50,25,239,1,830,830
51,26,778,2,48403,96806
52,26,919,1,32895,32895
53,26,128,2,35572,71144
54,27,635,1,44347,44347
55,28,141,2,40096,80192
56,29,304,1,18202,18202
57,29,207,2,47263,94526
58,30,658,1,49458,49458
59,31,946,2,9824,19648
60,32,899,2,20793,41586
61,32,337,2,25689,51378
62,32,138,1,13365,13365
63,33,811,2,34170,68340
64,33,425,1,2284,2284
65,33,664,1,38439,38439
66,34,340,1,39798,39798
67,34,351,1,3163,3163
68,34,249,1,6218,6218
69,35,713,2,3186,6372
70,35,737,2,35422,70844
71,35,228,1,19526,19526
72,36,645,1,37353,37353
73,36,7,2,27996,55992
74,37,977,1,30395,30395
75,38,650,1,14622,14622
76,39,129,1,14680,14680
77,40,607,1,43466,43466
78,41,520,1,18364,18364
79,42,743,2,49326,98652
80,42,479,1,42933,42933
81,43,203,1,8886,8886
82,43,251,1,25270,25270
83,43,435,2,12740,25480
84,44,591,1,34451,34451
85,44,460,2,20858,41716
86,45,82,2,28466,56932
87,45,974,2,35244,70488
88,46,172,2,22628,45256
89,46,483,2,2755,5510
90,47,625,1,30581,30581
91,47,753,2,2570,5140
92,47,444,1,36335,36335
93,48,438,1,38530,38530
94,48,875,2,25436,50872
95,49,551,1,43200,43200
96,49,157,2,5910,11820
97,49,567,2,25018,50036
98,50,314,2,27673,55346
99,50,465,2,36100,72200
100,51,621,2,29951,59902
101,51,493,1,15735,15735
102,51,74,2,17632,35264
103,52,159,1,1430,1430
104,53,14,2,25211,50422
105,54,415,2,38821,77642
106,54,948,2,4365,8730
107,55,383,2,35888,71776
108,55,394,1,33925,33925
109,55,502,2,46422,92844
110,56,944,1,44022,44022
111,57,955,1,13175,13175
112,57,580,1,36543,36543
113,58,981,2,25826,51652
114,58,262,2,18380,36760
115,59,706,1,23021,23021
116,59,378,2,48481,96962
117,59,714,2,24153,48306
118,60,253,1,42744,42744
119,60,249,2,6218,12436
120,60,490,1,26874,26874
121,61,682,2,855,1710
122,61,661,2,41745,83490
123,61,152,1,29843,29843
124,62,254,1,27058,27058
125,62,617,1,1909,1909
126,63,790,1,17413,17413
127,64,729,2,34362,68724
128,64,939,1,39787,39787
129,64,394,1,33925,33925
130,65,170,2,46005,92010
131,65,850,2,17414,34828
132,66,310,2,8766,17532
133,66,513,2,42342,84684
134,66,991,2,20268,40536
135,67,891,2,34584,69168
136,67,92,1,33684,33684
137,67,112,2,38027,76054
138,68,215,2,30141,60282
139,68,953,2,1149,2298
140,68,767,1,12636,12636
141,69,836,2,41942,83884
142,70,100,1,8467,8467
143,71,428,2,27538,55076
144,71,538,2,44449,88898
145,71,427,1,30023,30023
146,72,384,1,12824,12824
147,73,138,1,13365,13365
148,73,203,1,8886,8886
149,73,499,2,30117,60234
150,74,834,1,2467,2467
151,74,218,1,43030,43030
152,74,191,1,1995,1995
153,75,266,2,15569,31138
154,76,642,1,9247,9247
155,76,935,1,38216,38216
156,77,301,1,5867,5867
157,78,128,1,35572,35572
158,78,284,2,43888,87776
159,79,600,1,20890,20890
160,80,497,1,45538,45538
161,80,689,1,34231,34231
162,81,273,1,33319,33319
163,82,597,1,26232,26232
164,82,809,1,31418,31418
165,82,43,1,46689,46689
166,83,618,2,5926,11852
167,83,533,2,15068,30136
168,84,776,2,46645,93290
169,84,346,2,14337,28674
170,85,699,2,10306,20612
171,85,912,2,22959,45918
172,86,964,2,27558,55116
173,87,409,1,2022,2022
174,87,388,2,5714,11428
175,87,626,2,42274,84548
176,88,4,2,33418,66836
177,89,412,1,27221,27221
178,89,743,1,49326,49326
179,89,856,1,19973,19973
180,90,287,1,4230,4230
181,90,974,2,35244,70488
182,90,717,2,24732,49464
183,91,703,2,28774,57548
184,91,675,2,371,742
185,91,891,1,34584,34584
186,92,654,2,40680,81360
187,93,649,2,24342,48684
188,94,993,2,14769,29538
189,95,455,2,41539,83078
190,95,240,2,19056,38112
191,95,622,1,46881,46881
192,96,439,2,32733,65466
193,96,962,1,23767,23767
194,97,395,1,44739,44739
195,97,301,1,5867,5867
196,97,622,1,46881,46881
197,98,510,1,5086,5086
198,99,853,2,17301,34602
199,99,690,1,42647,42647
200,100,978,2,3856,7712
201,100,119,1,17286,17286
202,101,217,1,49104,49104
203,102,717,2,24732,49464
204,102,92,1,33684,33684
205,102,109,1,6420,6420
206,103,925,2,6685,13370
207,103,393,1,18293,18293
208,104,264,1,22156,22156
209,104,682,1,855,855
210,104,488,2,48574,97148
211,105,815,2,17200,34400
212,106,955,1,13175,13175
213,107,352,2,40315,80630
214,107,387,2,32819,65638
215,107,933,1,584,584
216,108,266,1,15569,15569
217,109,90,1,14909,14909
218,109,115,2,36830,73660
219,110,607,1,43466,43466
220,110,960,2,2917,5834
221,110,193,1,31134,31134
222,111,977,1,30395,30395
223,111,390,2,5547,11094
224,112,605,1,29034,29034
225,113,434,2,16570,33140
226,113,328,1,30560,30560
227,114,680,1,19911,19911
228,114,617,1,1909,1909
229,114,605,2,29034,58068
230,115,552,2,48770,97540
231,116,149,2,28840,57680
232,116,836,1,41942,41942
233,117,697,1,41494,41494
234,117,467,2,15036,30072
235,118,765,1,21140,21140
236,119,328,1,30560,30560
237,119,317,2,28852,57704
238,119,515,2,43130,86260
239,120,849,2,4483,8966
240,120,221,2,43211,86422
241,120,507,1,8947,8947
242,121,157,1,5910,5910
243,121,848,1,42724,42724
244,122,754,1,36389,36389
245,122,54,2,35727,71454
246,122,946,2,9824,19648
247,123,835,1,18255,18255
248,123,676,1,39207,39207
249,124,402,2,46439,92878
250,124,346,2,14337,28674
251,124,433,2,3616,7232
252,125,74,2,17632,35264
253,125,541,2,48893,97786
254,126,946,2,9824,19648
255,126,200,1,35859,35859
256,126,718,1,14926,14926
257,127,771,1,22631,22631
258,127,811,2,34170,68340
259,128,671,1,28336,28336
260,128,168,2,12059,24118
261,129,495,1,23863,23863
262,129,299,1,24954,24954
263,129,919,1,32895,32895
264,130,201,1,34276,34276
265,130,753,2,2570,5140
266,130,667,1,21459,21459
267,131,805,2,17562,35124
268,131,880,2,15269,30538
269,131,152,1,29843,29843
270,132,99,2,43831,87662
271,133,184,1,41263,41263
272,133,968,1,22975,22975
273,134,666,2,14575,29150
274,134,347,1,9315,9315
275,134,608,2,29730,59460
276,135,35,1,4096,4096
277,136,407,2,42092,84184
278,137,705,1,46692,46692
279,137,611,2,16568,33136
280,138,815,1,17200,17200
281,138,687,2,42545,85090
282,138,675,2,371,742
283,139,648,2,7719,15438
284,139,669,2,3472,6944
285,140,123,1,15455,15455
286,141,125,2,27548,55096
287,142,685,1,49612,49612
288,142,931,1,3347,3347
289,142,522,2,6912,13824
290,143,711,1,11236,11236
291,143,764,1,23552,23552
292,144,496,2,20406,40812
293,144,661,2,41745,83490
294,145,129,1,14680,14680
295,145,102,1,8641,8641
296,145,334,2,47113,94226
297,146,21,2,43254,86508
298,146,404,1,5153,5153
299,146,570,1,3088,3088
300,147,989,1,9565,9565
301,148,883,1,41137,41137
302,149,569,2,42564,85128
303,150,126,1,38578,38578
304,150,41,1,4496,4496
305,151,166,2,18420,36840
306,151,90,1,14909,14909
307,151,576,1,45474,45474
308,152,519,2,15351,30702
309,153,990,1,39402,39402
310,153,558,2,40790,81580
311,154,1,1,16349,16349
312,154,255,2,20246,40492
313,154,308,2,14143,28286
314,155,591,2,34451,68902
315,156,321,2,9979,19958
316,156,536,1,21944,21944
317,156,933,1,584,584
318,157,840,1,3553,3553
319,157,46,1,47705,47705
320,157,243,1,29189,29189
321,158,877,1,47999,47999
322,158,853,1,17301,17301
323,159,566,2,42891,85782
324,159,222,2,22487,44974
325,159,606,1,33022,33022
326,160,638,2,9335,18670
327,160,433,2,3616,7232
328,160,77,2,3629,7258
329,161,926,2,41827,83654
330,161,168,1,12059,12059
331,161,410,2,30931,61862
332,162,436,1,32986,32986
